unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_99ddc607be0b71,KIDS,kids,act_04998352f7b32d,,ORIENTFP AA,sub activity 1 1 conduct data quality assesment monitoring and follow up in 4 hospitals,,,output 1.1 Documented and scalable investment case demonstrating positive social norms shifts among marginalized communities with high unmet need and high maternal mortality ratio,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,2.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_91a3b8b3855b4d,KIDS,kids,act_f53089adb1a511,,ORIENTFP HF,sub activity 1 2 support 2 palikas to prepare and implement fp micro plans rolpa kapilvastu and rupandehi,,,"output 3.3 Local government prioritze FP and leverage resources with the help of microplanning tool that aligns national priority with local needs and improves the availability, method mix, and efficient resource utilization.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,3.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_85afb444b54b86,KIDS,kids,act_b01c645024235d,,ORIENTFP HF,sub activity 1 3 advocacy meeting with budgetory committee on fp micro plan,,,"output 3.3 Local government prioritze FP and leverage resources with the help of microplanning tool that aligns national priority with local needs and improves the availability, method mix, and efficient resource utilization.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,4.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_699047bb5297de,KIDS,kids,act_4ba63754b2a8aa,,ORIENTFP (HF),sub activity 1 4 conduct orientation for elected women reprsentatives on fp linking to fp microplan,,,"output 3.3 Local government prioritze FP and leverage resources with the help of microplanning tool that aligns national priority with local needs and improves the availability, method mix, and efficient resource utilization.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,5.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_93d731bffd8678,KIDS,kids,act_5b1cf2a0b244e9,,SUPPORTHOSPITALLPAA,sub activity 2 1 provision of inclusive communication facilitator at lumbini provincial hospital,,,output 1.1 Documented and scalable investment case demonstrating positive social norms shifts among marginalized communities with high unmet need and high maternal mortality ratio,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,6.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_aca52b94d6b692,KIDS,kids,act_21e087028277c4,,SUPPORTHOSPITALLP AA,sub activity 2 2 orientation to health service providers on disability friendly srh guidelines kapilvastu hospital,,,output 1.1 Documented and scalable investment case demonstrating positive social norms shifts among marginalized communities with high unmet need and high maternal mortality ratio,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,7.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_14892be407e9a2,KIDS,kids,act_0bc992d41cb383,,SUPPORTHOSPITALLP AA,sub activity 2 3 joint assesment at kapilvastu hospital on disability friendly services,,,output 1.1 Documented and scalable investment case demonstrating positive social norms shifts among marginalized communities with high unmet need and high maternal mortality ratio,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,8.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_32776758073333,KIDS,kids,act_741b03667ce80d,,ADVOKRA215,sub activity 3 1 joint assesment at rolpa hospital on disability friendly services,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,9.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_25ee2105d516b4,KIDS,kids,act_6f9a331373817c,,ADVOKRA215,sub activity 3 2 orientation to right holders on disability friendly srh guidelines in rolpa municipality,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,10.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_27f9074ac93b53,KIDS,kids,act_2695eb4fa5eed1,,ADVOKRA215,sub activity 3 3 orientation to health service providers on disability friendly srh guidelines bijay nagar r m kapilvastu rolpa municipality and rolpa hospital,,,,,,,,2026.0,,,unknown,kidsindicator.xlsx,activitylist,11.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
