unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,nrcs_crosswalk_id,nrcs_ip_name,nrcs_normalized_ip_name,nrcs_activity_registry_id,nrcs_indicator_registry_id,nrcs_activity_code,nrcs_normalized_activity_name,nrcs_indicator_code,nrcs_normalized_indicator_name,nrcs_output,nrcs_outcome,nrcs_cpd_indicator,nrcs_sp_indicator,nrcs_unsdcf_indicator,nrcs_reporting_year,nrcs_reporting_quarter,nrcs_target_registry_id,nrcs_evidence_required,nrcs_source_document,nrcs_source_sheet,nrcs_source_row,nrcs_mapping_method,nrcs_mapping_confidence,nrcs_mapping_status,nrcs_validation_status,nrcs_gap_reason,nrcs_me_review_status,nrcs_me_corrected_value,nrcs_me_comments,nrcs_approved_by,nrcs_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_62a5b89b65ac58,PeaceWin,peacewin,act_a25ca99da25d22,ind_8542fb7dca4c1c,CDEU1115,sub activity 1 1 1 1 intergenerational dialogue between boys and men 30 in each palikas,,indicator registry not available in source workbook,Output 1.1 – Men and boys have increased capacity to challenge discriminatory social and gender norms and to act as role models that promote positive masculinities,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,2.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_778428dbb84d6c,PeaceWin,peacewin,act_def5fbee252d49,ind_8542fb7dca4c1c,ADVOEU1118,sub activity 1 1 1 3 adolescent friendly information corners afic mobilisation in school,,indicator registry not available in source workbook,Output 1.1 – Men and boys have increased capacity to challenge discriminatory social and gender norms and to act as role models that promote positive masculinities,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,3.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_8d0f189ba6ec03,PeaceWin,peacewin,act_7b97463c5a6bda,ind_8542fb7dca4c1c,ADVOEU1118 A,sub activity 1 1 1 4 inter school learning visits to afics from non afic schools participants non afic school s students,,indicator registry not available in source workbook,Output 1.1 – Men and boys have increased capacity to challenge discriminatory social and gender norms and to act as role models that promote positive masculinities,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,4.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_f0d6e32bd900c1,PeaceWin,peacewin,act_be2871530ce7ad,ind_8542fb7dca4c1c,ADVOEU11251,learning sharing between male champions early enablers on the action plan follow ups to be faciltiated by peacewin staff 6 male champions from 3 palikas,,indicator registry not available in source workbook,Output 1.1 – Men and boys have increased capacity to challenge discriminatory social and gender norms and to act as role models that promote positive masculinities,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,5.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2813dcd4cfda38,PeaceWin,peacewin,act_9d2e9521190728,ind_8542fb7dca4c1c,ADVOEU11252,sub activity 1 1 2 5 learning sharing between male champions between 4 punos to identify synegy for social norm change media engagement with the male champions will be conducted 30 participants in total in sudurpashchim 15 from unfpa 15 from other punos,,indicator registry not available in source workbook,Output 1.1 – Men and boys have increased capacity to challenge discriminatory social and gender norms and to act as role models that promote positive masculinities,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,6.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2c012387d702de,PeaceWin,peacewin,act_de73d8d2672976,ind_8542fb7dca4c1c,CDEU1234,sub activity 1 2 2 5 family dialogue sessions for beneficiaries and families who have received economic support from ilo women on gta 300 community people,,indicator registry not available in source workbook,Output 1.2 – Families and communities have increased capacity to enhance the economic role of women and nurture equitable and non-discriminatory relationships,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,7.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_1e71937c509cdc,PeaceWin,peacewin,act_6085ae259d0757,ind_8542fb7dca4c1c,CDEU1235,sub activity 1 2 2 6 support for gbv prevention community mainly the family dialogue graduates on business linkages and business development services 135 families 2 times in three lgs,,indicator registry not available in source workbook,Output 1.2 – Families and communities have increased capacity to enhance the economic role of women and nurture equitable and non-discriminatory relationships,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,8.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_e547cb55c0cf58,PeaceWin,peacewin,act_ee23baf05bcb37,ind_8542fb7dca4c1c,CDEU1236,sub activity 1 2 2 7 three days formalize your business grow your business training to the gbv prevention community memners family dialogue graduates which have started the micro enterprises after completing the family dialogue session,,indicator registry not available in source workbook,Output 1.2 – Families and communities have increased capacity to enhance the economic role of women and nurture equitable and non-discriminatory relationships,"Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,9.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_1fbc17db34f3ad,PeaceWin,peacewin,act_82a4ed2a1b3623,ind_8542fb7dca4c1c,CDEU1315,sub activity 1 3 1 5 intergenerational dialogue on gbv issues with women and girls 30 women and girls in each palikas,,indicator registry not available in source workbook,"Output 1.3 – Women and girls have increased capacity to advocate for gender equality and the rights of women and girls, hold duty bearers accountable for action on GEWE, and challenge discriminatory social and gender norms both individually and collectively","Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,10.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_097d3a33bac8d8,PeaceWin,peacewin,act_6d29106ece5b23,ind_8542fb7dca4c1c,CDEU1322,sub activity 1 3 2 1 mobilisation of opinion leaders specifically with traditional religious leaders amongst others 15 opinion leaders in 3 palikas 2 times in new areas supported under ilo and unwomen,,indicator registry not available in source workbook,"Output 1.3 – Women and girls have increased capacity to advocate for gender equality and the rights of women and girls, hold duty bearers accountable for action on GEWE, and challenge discriminatory social and gender norms both individually and collectively","Outcome 1 - Men and boys, families and communities demonstrate more gender-equitable behaviours and support for positive social and gender norms that promote GEWE, and women and girls have increased agency",,,,2026.0,,,unknown,peacewinprogramindicator.xlsx,finalactivitylist,11.0,incomplete_source_workbook,0.0,incomplete_source,requires_me_review,,missing_indicator_target_registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
