unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_0cd8700b6e22e4,SAATHI,saathi,act_851cc5a1cbcd3b,,ADVOEU2317,coordination meeting with stakeholders for strengthening coordination for an effective multi sectoral response at the provincial and local level needs to be closely coordinated with cmc nepal and peacewin,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,2.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_7a8c37b2aa2a93,SAATHI,saathi,act_f7abcc83b21a7a,,SDEU2361,safe house and shelter support and resource provision operation of safe house provide dignity kits and funding to purchase food supplies sanitary ware hygiene products and other basic needs to keep these facilites operational human resource cost,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,3.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_3ff08367b04003,SAATHI,saathi,act_723611fc539849,,CDEU2362,care for care giver stress management training for safe house and shelter staff kanchanpur 2 doti 2 ip 2 and trainer,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,4.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_dfb9bfd8010032,SAATHI,saathi,act_00b1a002dce615,,CDEU2364,case management training in sp province to be jointly done with gbvprii 1 batch 3 days training,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,5.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_fe01a86e7099d4,SAATHI,saathi,act_045b13c0bde071,,CDEU2363,coaching and mentoring for gbv service providers and gbv survivors,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,6.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_85d704fdba3519,SAATHI,saathi,act_e72154ecbf1909,,CDEU2363.1,vocational livelihood skills training cost for survivors,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,7.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_3be2c44dc4d119,SAATHI,saathi,act_55d5b5ed89cd7c,,CDEU2363.2,mentoring and coaching support by the resource person to visit safe house and beneficiairs for 10 days in a month both for business development,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,8.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_efe162d8ba47d2,SAATHI,saathi,act_67c9c3d8509fe5,,ADVOEU3246,international day celebration,,,Output 1 - National Women’s Machinery has the improved capacity to advance GEWE in line with international/ national normative frameworks,"Outcome 3 - Institutions deliver gender equality outcomes in all spheres, in line with international and national normative frameworks",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,9.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_72cf669d2717f6,SAATHI,saathi,act_5306829df44316,,ADVOEU3248,develop training manual and facilitators guides on case management guideline,,,Output 1 - National Women’s Machinery has the improved capacity to advance GEWE in line with international/ national normative frameworks,"Outcome 3 - Institutions deliver gender equality outcomes in all spheres, in line with international and national normative frameworks",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,10.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_827ad493044923,SAATHI,saathi,act_e90f883ebaf575,,2.1.1,operation of shelter home kanchanpur 100 programme support staffing and operations,,,Please mention program output,Please mention linked program outcome,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,11.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2d43d4fceddae9,SAATHI,saathi,act_a1d1d346f66a1f,,2.1.2.1,refresher training on gta and services for safe house staff achham bajhag bajura baitadi kailali each 2 person,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,12.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_b1759de3dbf610,SAATHI,saathi,act_1d5d4c68051bc2,,2.1.2.2,stress management training care for care giver on psea anti corruption bribery discrimination and actions to undertake in those cases achham bajhag bajura baitadi kailali each 2 person,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,13.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_30868bcf052ea6,SAATHI,saathi,act_2cca5120e026eb,,2.1.2.3,review and reflections programme to develop the sustainability of the safe house and shelter home management after the programme completion meeting will be held between the safe house staff and women development staff prodoc activity 2 1 2 1,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,14.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_bd26e94ec1b27b,SAATHI,saathi,act_e6c0115dface84,,2.1.2.4,provincial level consultations to develop action plan to guide for the sustainability of the shelter home operations which will focus on local perspectives and context specific issues of safe house and shelter home management,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,15.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_6cb72dbb3f6039,SAATHI,saathi,act_0bc12fe0e23af1,,2.1.2.5,coordination meeting with stakeholders for strengthening coordination for safehouse sustanability government stakeholders,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,16.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_175555676b9e0d,SAATHI,saathi,act_325b86a2632de0,,2.1.3.1,shelter home action plan development coordination and consultative meeting of technical committee,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,17.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_4f80700f12fed4,SAATHI,saathi,act_8fab057b834f20,,2.1.3.2,workshop at federal level to finalize and endorsement of gta training manual to build the capacity of shelter home staff to provide survivor centric services,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,18.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_b12d9217f7fd07,SAATHI,saathi,act_8ed8366fbd8710,,2.1.4.1,2 1 4 1 basic livelihood and skill based training,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,19.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_0cd8700b6e22e4,SAATHI,saathi,act_851cc5a1cbcd3b,,ADVOEU2317,coordination meeting with stakeholders for strengthening coordination for an effective multi sectoral response at the provincial and local level needs to be closely coordinated with cmc nepal and peacewin,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,2.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_457fe23c701551,SAATHI,ADVOEU2317,Coordination Meeting with stakeholders for strengthening coordination (for an effective multi-sectoral response at the provincial and local level- needs to be closely coordinated with CMC Nepal and PeaceWin),,,unknown,unknown,unknown,unknown,saathiprogramindicator.xlsx,saathiactivitylist,2.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_17035d5e998f4d,SAATHI,saathi,act_7db63895197c15,,2.1.4.2,2 1 4 2 advocacy with stakeholders working in gbv and life skills and local government 1 in each palika except kailali,,,,,,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,20.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,xwalk_7a8c37b2aa2a93,SAATHI,saathi,act_f7abcc83b21a7a,,SDEU2361,safe house and shelter support and resource provision operation of safe house provide dignity kits and funding to purchase food supplies sanitary ware hygiene products and other basic needs to keep these facilites operational human resource cost,,,"Output 3 – Enhanced capacities of multisectoral essential service providers to deliver quality survivor-centered, child-sensitive GBV response services","Outcome 2 - Women, men, girls and boys in all their diversity access opportunities to exercise their equal economic, labour and social rights",,,,2026.0,,,unknown,saathiprogramindicator.xlsx,saathiactivitylist,3.0,no_indicator_field_in_activity_source,0.0,unmatched_activity,requires_me_review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_b320f9d7b7fa3d,SAATHI,SDEU2361,"Safe house and shelter support and resource provision: Operation of safe house, provide dignity kits and funding to purchase food supplies, sanitary ware, hygiene products and other basic needs to keep these facilites operational : Human Resource Cost",,,unknown,unknown,unknown,unknown,saathiprogramindicator.xlsx,saathiactivitylist,3.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
