unresolved_crosswalk_id,unresolved_ip_name,unresolved_normalized_ip_name,unresolved_activity_registry_id,unresolved_indicator_registry_id,unresolved_activity_code,unresolved_normalized_activity_name,unresolved_indicator_code,unresolved_normalized_indicator_name,unresolved_output,unresolved_outcome,unresolved_cpd_indicator,unresolved_sp_indicator,unresolved_unsdcf_indicator,unresolved_reporting_year,unresolved_reporting_quarter,unresolved_target_registry_id,unresolved_evidence_required,unresolved_source_document,unresolved_source_sheet,unresolved_source_row,unresolved_mapping_method,unresolved_mapping_confidence,unresolved_mapping_status,unresolved_validation_status,unresolved_contribution_type,unresolved_gap_reason,unresolved_me_review_status,unresolved_me_corrected_value,unresolved_me_comments,unresolved_approved_by,unresolved_approved_date,crosswalk_crosswalk_id,crosswalk_ip_name,crosswalk_normalized_ip_name,crosswalk_activity_registry_id,crosswalk_indicator_registry_id,crosswalk_activity_code,crosswalk_normalized_activity_name,crosswalk_indicator_code,crosswalk_normalized_indicator_name,crosswalk_output,crosswalk_outcome,crosswalk_cpd_indicator,crosswalk_sp_indicator,crosswalk_unsdcf_indicator,crosswalk_reporting_year,crosswalk_reporting_quarter,crosswalk_target_registry_id,crosswalk_evidence_required,crosswalk_source_document,crosswalk_source_sheet,crosswalk_source_row,crosswalk_mapping_method,crosswalk_mapping_confidence,crosswalk_mapping_status,crosswalk_validation_status,crosswalk_contribution_type,crosswalk_gap_reason,crosswalk_me_review_status,crosswalk_me_corrected_value,crosswalk_me_comments,crosswalk_approved_by,crosswalk_approved_date,target_registry_id,target_ip_name,target_normalized_ip_name,target_indicator_code,target_indicator_name,target_reporting_year,target_annual_target,target_q1_target,target_q2_target,target_q3_target,target_q4_target,target_cumulative_target,target_target_type,target_unit_of_measure,target_source_document,target_source_sheet,target_source_row,target_mapping_status,target_validation_status,target_gap_reason,target_me_review_status,target_me_corrected_value,target_me_comments,target_approved_by,target_approved_date,evidence_evidence_registry_id,evidence_ip_name,evidence_activity_code,evidence_activity_name,evidence_indicator_code,evidence_indicator_name,evidence_evidence_required,evidence_evidence_type,evidence_evidence_frequency,evidence_responsible_team_or_person,evidence_source_document,evidence_source_sheet,evidence_source_row,evidence_validation_status,evidence_notes,evidence_me_review_status,evidence_me_corrected_value,evidence_me_comments,evidence_approved_by,evidence_approved_date,ip_registry_registry_id,ip_registry_ip_name,ip_registry_normalized_ip_name,ip_registry_source_document,ip_registry_source_folder,ip_registry_mapping_status,ip_registry_mapping_confidence,ip_registry_validation_status,ip_registry_remarks,ip_registry_me_review_status,ip_registry_me_corrected_value,ip_registry_me_comments,ip_registry_approved_by,ip_registry_approved_date,issue_group,decision_needed,proposed_fix,fix_confidence,requires_human_approval,agent_triage_note
xwalk_b36cec852af68d,SPN,spn,act_55959ac3cc4f22,ind_3592e095eefd63,1_1_1,subact 1 1 conduct forecasting quantification workshop in 7 provinces,Number of Annual Procurement Plan developed,number of annual procurement plan developed,"Output 2: Reproductive health commodities secured through preparation of supply plan, annual procurement plan informed by quantification workshop and officials trained in Procurement","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,2.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_e1f883388427a4,SPN,spn,act_0b03f2d87bfae6,ind_64037ee0b895de,2_1_1,subact 2 1 advance procurement related training at federal level,Number of government officials trained on Advanced Procurement Process,number of government officials trained on advanced procurement process,"Output 2: Reproductive health commodities secured through preparation of supply plan, annual procurement plan informed by quantification workshop and officials trained in Procurement","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,4.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_c7d36b3bb2c1da,SPN,spn,act_158faaf1aa1616,ind_e2330af09bb4c3,3_1_1,subact 3 1 development and finalization of the scm guideline,Number of Supply Chain Management Guideline developed,number of supply chain management guideline developed,Output 4:Federally alligned guideline/SoP for commodities is updated that improves the commodity flow and inventory management at all level.,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,6.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_7c8a8a6974d1e8,SPN,spn,act_ea83ec2caab1c7,ind_eff05b697043be,4_1_1,subact 4 1 routine data quality assessment of elmis system,Number of health facilities assessed on eLMIS,number of health facilities assessed on elmis pams,"Output 3:Government successfully replaces the old eLMIS with its own PAMS platform, giving local governments the skills and funds to run and expand the in their health facilities to ensures commodity security.","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,12.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_dfdcedf6715d78,SPN,spn,act_a891c64ab47eec,ind_7ec3d1ea727d3f,5_1_1,activity title 5 monitoring and coordination,Number of Health Workers trained on HMIS Recording,number of health workers trained on hmis recording and reporting,Output 1: Improved uptake and quality of postpartum family planning (PPFP) services in high volume hospitals.,"Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,14.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_c0c9514088248e,SPN,spn,act_a16c2b9985b382,ind_cd808f3c19861a,7_1_1,subact 7 1 ma drug surveillence by government officials,Number of surveilence,number of surveilence and meeting conducted at federal province and local level to control counterfiet ma drugs,Output 5:Regulatory body starts providing oversight to ensure the quality of MA,"Outcome 2. By 2029, the reduction of preventable maternal deaths has accelerated",,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,18.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_324c09bf32834b,SPN,spn,act_2bd819185e0a2c,ind_334622cf9110ab,8_1_1,subact 8 1 review and planning meeting for guftagu session,Number of individuals (parents,number of individuals parents traditional and religious leaders and community members engaged in community spaces to challenge harmful practices promote gender equality and sexual and reproductive health,Output 6: Male members from Muslim community are oriented on SRH and Gender Equality,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated",Percent of Health facilities with Supportive supervision visits conducted to support service providers to offer adolescent friendly sexual and reproductive health services,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,21.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
xwalk_2df9e83b13a8a7,SPN,spn,act_b8853a70839208,ind_4507bbec107203,9_1_1,subact 9 1 orientation for health workers of madhesh province,Number of health service providers oriented on disability-inclusive health service provision.,number of health service providers oriented on disability inclusive health service provision,Output 7: Health workers are oriented on Disability inclusive SRH services.,"Outcome 3. By 2029, the reduction in gender-based violence and harmful practices has accelerated","Number of provincial and local multi-stakeholder platforms developed and fully operationalised for adolescents, youth, men, and women, people with disability participation in advocacy, policy dialogue, monitoring and programming to prevent and respond to GBV and harmful practices, including child marriage.",,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,25.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_b36cec852af68d,SPN,spn,act_55959ac3cc4f22,ind_3592e095eefd63,1_1_1,subact 1 1 conduct forecasting quantification workshop in 7 provinces,Number of Annual Procurement Plan developed,number of annual procurement plan developed,"Output 2: Reproductive health commodities secured through preparation of supply plan, annual procurement plan informed by quantification workshop and officials trained in Procurement","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,2.0,source_activity_indicator_field,0.65,matched_inferred,requires_me_review,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_b4e54ca7f4254c,SPN,1_1_1,Subact 1.1: Conduct Forecasting Quantification workshop in 7 provinces,Number of Annual Procurement Plan developed,Number of Annual Procurement Plan developed,unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,2.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xwalk_7eab39d5773a90,SPN,spn,act_fa6103c1b8ee46,ind_3592e095eefd63,1_2_1,subact 1 2 conduct quantifications and preparation of annual procurement plan at federal level,Number of Annual Procurement Plan developed,number of annual procurement plan developed,"Output 2: Reproductive health commodities secured through preparation of supply plan, annual procurement plan informed by quantification workshop and officials trained in Procurement","Outcome 1. By 2029, the reduction in the unmet need for family planning has accelerated",Number of Post pregnancy family planning service sites strengthened through periodic review and technical updates,,,2026.0,,,unknown,spnprograminidcator.xlsx,finalactivitylist,3.0,source_activity_indicator_field,0.98,matched_direct,pending_user_validation,indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evidence_56409b4cdc69b4,SPN,1_2_1,Subact 1.2: Conduct Quantifications and preparation of annual procurement plan at federal level,Number of Annual Procurement Plan developed,Number of Annual Procurement Plan developed,unknown,unknown,unknown,unknown,spnprograminidcator.xlsx,finalactivitylist,3.0,requires_me_review,Source workbook does not provide a normalized evidence requirement field.,,,,,,,,,,,,,,,,,,,,,yes,,,yes,review proposed fixes
