province,district,palika_final,palika_type,latitude,longitude,coordinate_source,local_unit_source_name,local_unit_source_type,local_unit_source_district,local_unit_source_province,dashboard_use,final_status,final_review_note
Koshi,Khotang,Halesi Tuwachung Municipality,Municipality,27.166398,86.6064,local_unit_shapefile_centroid,Halesi Tuwachung,Nagarpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Confirmed current Khotang local level; source shapefile name matches.
Koshi,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Municipality,27.232799,86.805072,local_unit_shapefile_centroid,Rupakot Majhuwagadhi,Nagarpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final name corrected from source short name; user's local-level evidence includes Diktel Rupakot Majhuwagadhi.
Koshi,Khotang,Ainselukhark Rural Municipality,Rural Municipality,27.371674,86.763734,local_unit_shapefile_centroid,Ainselukhark,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final spelling aligned with current local-level map/table.
Koshi,Khotang,Rawa Besi Rural Municipality,Rural Municipality,27.278502,86.712652,local_unit_shapefile_centroid,Rawa Besi,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Added to replace outdated/non-current Lamidanda entry.
Koshi,Khotang,Jantedhunga Rural Municipality,Rural Municipality,26.973137,86.91634,local_unit_shapefile_centroid,Jantedhunga,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final spelling aligned with current local-level map/table.
Koshi,Khotang,Khotehang Rural Municipality,Rural Municipality,27.047889,86.853034,local_unit_shapefile_centroid,Khotehang,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Confirmed current Khotang local level.
Koshi,Khotang,Kepilasgadhi Rural Municipality,Rural Municipality,27.344546,86.886503,local_unit_shapefile_centroid,Kepilasagadhi,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final spelling aligned with current local-level table; source uses Kepilasagadhi.
Koshi,Khotang,Diprung Chuichumma Rural Municipality,Rural Municipality,27.103543,86.791219,local_unit_shapefile_centroid,Diprung,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final name corrected from source short name; user's local-level evidence includes Diprung Chuichumma.
Koshi,Khotang,Sakela Rural Municipality,Rural Municipality,27.172067,86.883377,local_unit_shapefile_centroid,Sakela,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Confirmed current Khotang local level.
Koshi,Khotang,Barahapokhari Rural Municipality,Rural Municipality,26.934737,86.8256,local_unit_shapefile_centroid,Barahapokhari,Gaunpalika,KHOTANG,Koshi,True,confirmed_current_local_level,Final spelling aligned with current local-level map/table.
