province,district,palika,final_latitude,final_longitude,final_coordinate_source,final_coordinate_quality,local_unit_source_name,local_unit_source_district,local_unit_source_province,local_unit_match_method,final_review_note
Koshi,Bhojpur,Aamchowk Rural Municipality,26.96451934,87.02385358,local_unit_shapefile_centroid,local_unit_confirmed,Aamchowk,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Arun Rural Municipality,27.18948181,87.19902936,local_unit_shapefile_centroid,local_unit_confirmed,Arun,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Bhojpur Municipality,27.20166165,87.06058084,local_unit_shapefile_centroid,local_unit_confirmed,Bhojpur,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Hatuwagadhi Rural Municipality,27.00381493,87.13158072,local_unit_shapefile_centroid,local_unit_confirmed,Hatuwagadhi,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Pauwa Dunma Rural Municipality,27.12506214,87.14751857,local_unit_shapefile_centroid,local_unit_review_variant,Pauwadungma,BHOJPUR,Koshi,local_unit_fuzzy_same_district,Resolved using local_unit shapefile centroid; UNFPA name retained; source name/renaming variant should be reviewed.
Koshi,Bhojpur,Ramprasad Rai Rural Municipality,27.08491398,87.02382222,local_unit_shapefile_centroid,local_unit_confirmed,Ramprasad Rai,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Salpa Silichho Rural Municipality,27.39853417,87.00575831,local_unit_shapefile_centroid,local_unit_confirmed,Salpasilichho,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Shadananda Municipality,27.32972430,87.11134714,local_unit_shapefile_centroid,local_unit_confirmed,Shadananda,BHOJPUR,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
Koshi,Bhojpur,Tyamke Maiyum Rural Municipality,27.21017459,86.96848240,local_unit_shapefile_centroid,local_unit_review_variant,Tyamkemaiyung,BHOJPUR,Koshi,local_unit_fuzzy_same_district,Resolved using local_unit shapefile centroid; UNFPA name retained; source name/renaming variant should be reviewed.
Koshi,Dhankuta,Chaubise Rural Municipality,26.91385314,87.47759504,local_unit_shapefile_centroid,local_unit_confirmed,Chaubise,DHANKUTA,Koshi,local_unit_exact_district_palika,Resolved using local_unit shapefile centroid; UNFPA name retained.
